Full Name,TEAMS,Batting Style,Bowling Style,Playing Role,description,imageurl
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier.But it was with the ball that Shanaka first made his mark on the international stage. He took 3 for 16 on a Pune greentop, against India, having only taken two domestic T20 wickets before then. He played bright cameos in Sri Lanka's 2016 World T20 campaign, and in April he was picked in the Test squad - for Sri Lanka's tour of England -  for the first time, largely on his potential, rather than his first-class record.Andrew Fidel Fernando","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/328000/328058.png"
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,"Tall, slim and slippery, Dushmantha Chameera arrived at NCC in 2012, and was quickly marked out as a bowler for the future. First among his virtues is pace, generated from a slightly round-arm action that sacrifices movement. Capable of consistently hitting speeds of over 140 kph, coaches believe he had become the quickest bowler in the country by 23. He had played only a handful of games in his first two seasons, but came into his own in NCC's 2013-14 championship run, claiming 32 first-class cricket at 21.18.Chameera's earned a place in Sri Lanka's Test squad to New Zealand at the end of 2014, but did not play a Test, despite a strong showing in the tour match. He was a late entry into the ODI squad for the same tour, and made his international debut in Wellington, and claimed the wicket of Ross Taylor with a 146kph delivery in his first over.Andrew Fidel Fernando","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319800/319862.png"
Tanzim Hasan Sakib,Bangladesh,Right hand Bat,Right arm Medium,Bowler,,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/367300/367368.1.png"
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,"Even before he was anywhere near making his international debut, Taskin Ahmed became an internet sensation. A video of his spell against England Under-19s in 2012 found its way to Youtube, and the sight of a Bangladeshi fast bowler ripping it past batsman and hitting the wicketkeeper's gloves quite hard and high made people curious.Taskin is a tall fast bowler, with a body structure slightly akin to Mashrafe Mortaza. He bowls with a high-arm action, after coming in from a smooth run-up. He is a product of Dhaka's cricket academy scene, having learned his craft at the Abahani ground nets, living nearby in Mohammadpur.He burst into the domestic scene with a four-wicket haul in the 2013 BPL, but he suffered a knee injury soon after which kept him sidelined for nearly a year. He went through rehabilitation work during the time, and as he slowly recovered, Taskin bowled in the Bangladesh nets regularly.The coaching staff was impressed by his ability, and kept him in the radar for a very long time, until they found the right time to blood him. Taskin made his T20 debut for Bangladesh in the World T20, and has been retained in the ODI squad for the India series in June 2014.Mohammad Isam
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316700/316703.png"
Ryan Klein,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/368000/368042.png"
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,"Hard-hitting 360-degree batter Suryakumar Yadav has all the shots, including a few not in any textbook save the one written by AB de Villiers. He also has a yen for making batting look easy, as he showed during four golden years with Mumbai Indians starting in 2018, during which they won the IPL title twice, thanks in no small part to his 1700-plus runs at a strike rate of around 140.He made 73 on his Ranji Trophy debut, for Mumbai in 2010, and the following season scored 754 from nine games, the most by anyone from his team. That tally included a double-century against Orissa in his third match of the season, and a hundred in the next. He capped the season with yet another hundred, in the Duleep Trophy. After a blip in 2012-13, he was back among the runs the next season, where he finished among Mumbai's top three run-getters.Suryakumar spent four seasons with Kolkata Knight Riders, starting in their second IPL title-winning year, 2014, though with 608 runs from 54 games he didn't quite provide a foretaste of what he would go on to do with Mumbai Indians in the years that followed.  Suryakumar's first international came belatedly in 2021, whereupon he hooked the first ball he faced in a T20I, from Jofra Archer, for six. He produced two fifties in his first three T20Is, and the year after, made 117 off 55 in a game where India fell short in the face of a massive 215 by England.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/331100/331163.png"
Shardul Thakur,India,Right hand Bat,Right arm Medium,Bowler,"An aggressive quick bowler, who can swing the ball away from the right-handers even while hitting the pitch hard, Shardul Thakur has established himself as the spearhead of Mumbai's attack. With the new ball, Thakur's at-the-batsman method forms a neat counterpoint to Dhawal Kulkarni's more metronomic style, and the two combined brilliantly to win Mumbai their 41st Ranji Trophy title in February 2016. Thakur picked up eight wickets in the final against Saurashtra, and his dismissal of Cheteshwar Pujara on the third day, the ball rearing up from a length to hit the shoulder of the bat, was perhaps the ball of the match.Thakur hails from Palghar, a town 87 km north of Mumbai, and spent his early cricketing years lugging his kitbag on early-morning trains into the city. Mumbai won the Ranji Trophy in his debut season of 2012-13, but he did not play a major role in the triumph, picking up only four wickets in four matches at an average of 82.Told to lose weight by his Mumbai team-mates, Thakur came back leaner and fitter the next season, and picked up 27 wickets at 26.25. The 2014-15 season was even better, Thakur finishing joint-top of the Ranji Trophy bowling charts with 48 wickets at 20.81. That earned him a call-up to the India A squad for four-day games against Australia A and South Africa A. Later that year, playing for the Board President's XI, he bagged a four-wicket haul against the touring South Africans, his wickets including those of Faf du Plessis and Hashim Amla.Kings XI Punjab signed Thakur for INR 20 lakhs at the 2014 IPL player auction, but he only got to play one match in his first two seasons for the team.
ESPNcricinfo staff
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322696.png"
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Allrounder,"Glenn Phillips is a compact, muscular hitter, known for playing outrageous shots, like the reverse pull. Born in South Africa, Phillips moved to New Zealand with his family at the age of five and has come through the cricket set-up in Auckland. He is a multi-dimensional player, who bats, bowls fastish offspin, fields superbly inside the ring and in the outfield, and keeps part-time as well.Although he made his T20I debut for New Zealand in 2017, he only cemented his place in the white-ball sides in 2020, using regular appearances in the CPL to hone his skills. In November 2020 against West Indies, he scored a 46-ball T20I century, then the fastest for a New Zealander, and he finished 2021 with the most sixes in T20s that year. Batting primarily in the middle order, Phillips was instrumental in New Zealand's run to the 2021 T20 World Cup final, and played an unforgettable innings in the 2022 edition - a 64-ball 104 against Sri Lanka in a match in which the other 19 batters combined to score 149 runs off the bat. He kicked off 2023 with a counterattacking half-century from No. 7 against Pakistan that clinched New Zealand's first ODI series win in the subcontinent since 2008. 
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321223.png"
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer.In his youth, Maharaj was a pace bowler, whose father played for Natal B during segregation years. He turned to spin on a whim in the nets one afternoon at school. He found that it worked and stuck to it. Maharaj's secret was his accuracy. At the Dolphins, he was able to combine that with an ability to take wickets at key moments.During the opening first-class match of the 2016-17 season, Maharaj picked up 13 for 157, and was then told he would be on South Africa's Test tour to Australia. Maharaj debuted at the WACA, an unusual place for a spinner, given the conditions, but did a remarkable job. In an innings in which he had to hold one end when Dale Steyn was injured, Maharaj bowled well enough to allow the other two seamers to be rotated at the other side. He took 3 for 56 in the first innings, four in the match, and scored an unbeaten 41 to show great promise for the future.Firdose Moonda","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322072.png"
Mahedi Hasan,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"By the time Mahedi Hasan earned his maiden ODI call-up in January 2021, he had already played 159 domestic matches for ten different teams in the first-class, List-A and T20 tournaments. He has now emerged as one of several contenders for the all-rounders' spots in Bangladesh's white-ball teams, having already played in three separate T20I series from 2018 to 2020. Mahedi (not to be mistaken with Mehidy Hasan Miraz who is coincidentally his first-class teammate from Khulna Division) is an accurate off-spinner, gun fielder and a batsman who has done well in both the top-order and lower down. He has six first-class centuries and his only List-A ton was in his Dhaka Premier League debut in 2016.Mahedi's performance has helped Khulna win four of the last five National Cricket League first-class competitions. His all-round skill was also crucial to South Zone winning the last two Bangladesh Cricket League first-class tournaments. He started off mainly as a bowler in the BPL, taking 10 and 13 wickets in the 2017-18 and 2018-19 tournaments respectively, before breaking out with a 253-run and 12-wicket double for Dhaka Platoon. 
Such numbers, performances and trophies in the domestic competitions have prepared Mahedi for the senior team, where he is now expected to play the role of a bit-part allrounder, expected to provide crucial runs and wickets.Mohammad Isam
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323166.png"
Abdullah Shafique,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/366300/366319.png"
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,"Allrounder Hardik Pandya's calling cards brisk seam bowling and powerful ball-striking marked by the ability to hit sixes from the first ball. Hardik, who plays his domestic cricket for Baroda, first caught the eye with an unbeaten 31-ball 61 for Mumbai Indians against Kolkata Knight Riders in the 2015 IPL. That began a long association with Mumbai, where he won four trophies and gained acclaim as a formidable finisher. By the end of the 2022 T20 World Cup, he had come to be seen as a future India captain, thanks to the leadership skills he showed that year in turning an unfancied Gujarat Titans line-up into IPL champions in their first year of existence. Hardik began his India career in 2016 when he was called up for a limited-overs tour to Australia, before impressing with the ball on seamer-friendly pitches in Bangladesh at the Asia Cup. He appeared to be the answer to India's search for a seam-bowling allrounder, and with his sprightly fielding added to the mix, he sealed his spot in India's squad for that year's T20 World Cup. While Hardik batted only twice in the tournament, he bowled the last over against Bangladesh, defending two runs off three balls to help India to a one-run win. A little more than a week after that, Pandya endured the disappointment of bowling a no-ball to reprieve Lendl Simmons, whose unbeaten innings helped eventual champions West Indies clinch the semi-final.Since then, it has not been all smooth sailing. The impact of a serious back injury in 2018 continues to follow Hardik, sometimes limiting him from being able to bowl. And early in 2019, he was embroiled in controversy when he made misogynistic and racist remarks on a talk show, for which he was pulled up by the Indian board.In the 2020s, Hardik grew into his role as a senior player and won praise for his faith in players as a captain and for being a free-thinker. In 2022, after India beat Pakistan in the T20 World Cup, he said he wouldn't have minded losing because the match was so much fun - sentiments he echoed after the 2023 IPL final, where he was all praise for rival captain MS Dhoni, whose Chennai Super Kings beat Gujarat Titans for the title. That year, like in the one before, Hardik turned in an impressive all-round and captaincy performance, making 346 runs and taking nine wickets in Gujarat Titans' run to their second final in a row.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319938.png"
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A wicketkeeper-batter known for his belligerent six-hitting, Heinrich Klaasen first got his chance in the South African team as an injury replacement, opening in place of Quinton de Kock, but went on to establish himself in the middle order in limited-overs cricket. Schooled at Menlopark High School and the University of Pretoria, Klaasen made his first-class debut for Northerns in the 2012-13 season and averaged 42.58 in the provincial three-day cup. He scored his first franchise hundred in February 2017: 195 to help Titans beat Dolphins in the penultimate round of the first-class competition.Klaasen made 69 off 30 balls in his second T20I, against India in Centurion in 2018. His first international hundred also came at home, an unbeaten 123 in a big one-day win over Australia in Paarl two years on. In 2023, he stunned the same opposition with a breathtaking display of power-hitting in Centurion to score 174 off 83 balls - the second-highest individual score by a batter playing at No. 5 or lower in ODIs.His phenomenal numbers against slow bowling - he struck at 191 and averaged 132 against spin in the 2023 IPL - have made him a valuable player among T20 franchises. Klaasen made his Test debut in 2019, but opportunities in the format have been few and far between. He got his first national contract in 2021, shortly after captaining a second-string T20I side in Pakistan.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322073.png"
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322202.png"
